DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,1999-12,86.84,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2000-01,86.93,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2000-02,87.28,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2000-03,87.64,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2000-04,87.86,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2000-05,88.06,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2000-06,88.40,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2000-07,88.52,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2000-08,88.63,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2000-09,89.15,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2000-10,89.31,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2000-11,89.57,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2000-12,89.88,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2001-01,89.63,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2001-02,89.95,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2001-03,90.43,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2001-04,91.03,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2001-05,91.56,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2001-06,91.73,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2001-07,91.47,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2001-08,91.50,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2001-09,91.81,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2001-10,91.92,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2001-11,91.92,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2001-12,92.31,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2002-01,92.46,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2002-02,92.64,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2002-03,93.12,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2002-04,93.56,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2002-05,93.73,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2002-06,93.67,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2002-07,93.54,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2002-08,93.62,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2002-09,93.88,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2002-10,94.12,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2002-11,94.09,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2002-12,94.51,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2003-01,94.46,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2003-02,94.84,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2003-03,95.35,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2003-04,95.53,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2003-05,95.49,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2003-06,95.55,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2003-07,95.43,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2003-08,95.58,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2003-09,95.94,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2003-10,96.12,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2003-11,96.20,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2003-12,96.49,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-01,96.36,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-02,96.59,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-03,97.10,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-04,97.56,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-05,97.93,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-06,97.98,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-07,97.81,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-08,97.97,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-09,98.11,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-10,98.49,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-11,98.48,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-12,98.84,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-01,98.34,
